codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4202404,Diabetes,1076.0,22.0
4202602,Diabetes,90.0,0.0
4202800,Diabetes,87.0,4.0
4202909,Diabetes,402.0,31.0
4203006,Diabetes,201.0,13.0
4203105,Diabetes,12.0,1.0
4203303,Diabetes,20.0,0.0
4203402,Diabetes,125.0,2.0
4203501,Diabetes,120.0,2.0
4203600,Diabetes,143.0,8.0
4203709,Diabetes,13.0,0.0
4203808,Diabetes,169.0,3.0
4203907,Diabetes,57.0,2.0
4204103,Diabetes,11.0,0.0
4204202,Diabetes,537.0,30.0
4204301,Diabetes,296.0,11.0
4204400,Diabetes,58.0,2.0
4204558,Diabetes,41.0,2.0
4204608,Diabetes,789.0,35.0
4204707,Diabetes,54.0,1.0
4204806,Diabetes,393.0,16.0
4204905,Diabetes,75.0,1.0
4205001,Diabetes,115.0,4.0
4205308,Diabetes,42.0,0.0
4205407,Diabetes,1487.0,39.0
4205506,Diabetes,88.0,2.0
4205902,Diabetes,157.0,4.0
4206405,Diabetes,75.0,3.0
4206504,Diabetes,57.0,0.0
4206603,Diabetes,98.0,0.0
4206900,Diabetes,137.0,11.0
4207007,Diabetes,157.0,6.0
4207205,Diabetes,54.0,1.0
4207304,Diabetes,207.0,6.0
4207502,Diabetes,116.0,3.0
4207601,Diabetes,13.0,0.0
4207650,Diabetes,65.0,2.0
4207700,Diabetes,16.0,1.0
4207809,Diabetes,27.0,0.0
4207908,Diabetes,42.0,1.0
4208005,Diabetes,39.0,2.0
4208104,Diabetes,42.0,0.0
4208203,Diabetes,590.0,33.0
4208302,Diabetes,17.0,0.0
4208401,Diabetes,47.0,3.0
4208500,Diabetes,56.0,1.0
4208708,Diabetes,211.0,5.0
4208807,Diabetes,104.0,5.0
4208906,Diabetes,641.0,18.0
4209003,Diabetes,169.0,9.0
4209102,Diabetes,1302.0,39.0
4209300,Diabetes,789.0,28.0
4209409,Diabetes,153.0,7.0
4209607,Diabetes,28.0,3.0
4209706,Diabetes,42.0,1.0
4209854,Diabetes,34.0,4.0
4210001,Diabetes,16.0,0.0
4210035,Diabetes,159.0,12.0
4210100,Diabetes,164.0,9.0
4210308,Diabetes,44.0,3.0
4210506,Diabetes,115.0,9.0
4210605,Diabetes,15.0,0.0
4210803,Diabetes,92.0,1.0
4210902,Diabetes,35.0,1.0
4211009,Diabetes,27.0,0.0
4211108,Diabetes,9.0,0.0
4211207,Diabetes,124.0,8.0
4211306,Diabetes,41.0,2.0
4211405,Diabetes,11.0,0.0
4211504,Diabetes,17.0,1.0
4211603,Diabetes,42.0,3.0
4211702,Diabetes,95.0,5.0
4211751,Diabetes,172.0,3.0
4212007,Diabetes,117.0,1.0
4212106,Diabetes,204.0,6.0
4212205,Diabetes,188.0,9.0
4212601,Diabetes,9.0,0.0
4212700,Diabetes,11.0,0.0
4212908,Diabetes,36.0,5.0
4213203,Diabetes,94.0,5.0
4213302,Diabetes,2.0,0.0
4213401,Diabetes,82.0,0.0
4213609,Diabetes,116.0,3.0
4213708,Diabetes,43.0,2.0
4213807,Diabetes,88.0,3.0
4214003,Diabetes,39.0,3.0
4214201,Diabetes,88.0,3.0
4214508,Diabetes,72.0,2.0
4214706,Diabetes,27.0,1.0
4214805,Diabetes,224.0,12.0
4214904,Diabetes,43.0,1.0
4215000,Diabetes,154.0,17.0
4215307,Diabetes,32.0,0.0
4215406,Diabetes,28.0,0.0
4215505,Diabetes,30.0,0.0
4215703,Diabetes,35.0,0.0
4215802,Diabetes,150.0,8.0
4215901,Diabetes,44.0,1.0
4216008,Diabetes,186.0,12.0
4216206,Diabetes,13.0,1.0
4216255,Diabetes,13.0,0.0
4216305,Diabetes,50.0,1.0
4216503,Diabetes,170.0,4.0
4216602,Diabetes,600.0,39.0
4216701,Diabetes,61.0,2.0
4216909,Diabetes,91.0,0.0
4217105,Diabetes,14.0,1.0
4217204,Diabetes,251.0,18.0
4217253,Diabetes,75.0,8.0
4217303,Diabetes,8.0,1.0
4217501,Diabetes,53.0,2.0
4217709,Diabetes,67.0,5.0
4217808,Diabetes,71.0,1.0
4217907,Diabetes,8.0,0.0
4218004,Diabetes,43.0,2.0
4218103,Diabetes,95.0,1.0
4218202,Diabetes,115.0,4.0
4218301,Diabetes,88.0,0.0
4218400,Diabetes,67.0,1.0
4218608,Diabetes,20.0,2.0
4218707,Diabetes,618.0,42.0
4218756,Diabetes,41.0,1.0
4218806,Diabetes,55.0,1.0
4218905,Diabetes,27.0,1.0
4219002,Diabetes,72.0,12.0
4219101,Diabetes,15.0,1.0
4219200,Diabetes,5.0,0.0
4219309,Diabetes,191.0,14.0
4219358,Diabetes,35.0,0.0
4219408,Diabetes,4.0,0.0
4219507,Diabetes,255.0,28.0
4219606,Diabetes,44.0,1.0
4219705,Diabetes,93.0,1.0
4200101,Respiratória crônica,331.0,11.0
4200200,Respiratória crônica,1.0,0.0
4200408,Respiratória crônica,260.0,1.0
4200705,Respiratória crônica,76.0,2.0
4200903,Respiratória crônica,27.0,1.0
4201000,Respiratória crônica,487.0,2.0
4201109,Respiratória crônica,118.0,0.0
