codigo_ibge,grupo_dcnt,internacoes,obitos_hospitalares
4213401,Câncer,8.0,1.0
4213609,Câncer,3664.0,358.0
4213708,Câncer,72.0,19.0
4213807,Câncer,87.0,24.0
4214003,Câncer,71.0,22.0
4214201,Câncer,154.0,24.0
4214508,Câncer,74.0,22.0
4214706,Câncer,45.0,14.0
4214805,Câncer,3013.0,313.0
4214904,Câncer,54.0,12.0
4215000,Câncer,137.0,56.0
4215307,Câncer,46.0,19.0
4215406,Câncer,54.0,6.0
4215505,Câncer,15.0,0.0
4215703,Câncer,43.0,1.0
4215802,Câncer,3785.0,191.0
4215901,Câncer,1.0,0.0
4216206,Câncer,30.0,11.0
4216255,Câncer,49.0,14.0
4216305,Câncer,62.0,32.0
4216503,Câncer,127.0,35.0
4216602,Câncer,2810.0,211.0
4216701,Câncer,102.0,24.0
4216909,Câncer,165.0,46.0
4217105,Câncer,3.0,0.0
4217204,Câncer,1630.0,239.0
4217253,Câncer,182.0,6.0
4217303,Câncer,52.0,16.0
4217501,Câncer,122.0,36.0
4217709,Câncer,104.0,41.0
4217808,Câncer,112.0,29.0
4217907,Câncer,1.0,0.0
4218004,Câncer,23.0,6.0
4218103,Câncer,20.0,0.0
4218202,Câncer,251.0,41.0
4218301,Câncer,134.0,37.0
4218400,Câncer,2.0,0.0
4218608,Câncer,53.0,27.0
4218707,Câncer,6519.0,479.0
4218756,Câncer,90.0,24.0
4218806,Câncer,1.0,0.0
4218905,Câncer,38.0,16.0
4219002,Câncer,74.0,41.0
4219101,Câncer,40.0,9.0
4219200,Câncer,17.0,11.0
4219309,Câncer,262.0,68.0
4219358,Câncer,11.0,3.0
4219408,Câncer,2.0,2.0
4219507,Câncer,103.0,45.0
4219606,Câncer,22.0,6.0
4219705,Câncer,17.0,3.0
4200101,Diabetes,81.0,4.0
4200200,Diabetes,6.0,0.0
4200408,Diabetes,87.0,0.0
4200705,Diabetes,21.0,0.0
4200903,Diabetes,79.0,5.0
4201000,Diabetes,32.0,0.0
4201109,Diabetes,63.0,0.0
4201273,Diabetes,8.0,1.0
4201406,Diabetes,457.0,8.0
4201505,Diabetes,173.0,4.0
4201604,Diabetes,45.0,0.0
4202008,Diabetes,506.0,21.0
4202305,Diabetes,31.0,5.0
